,num,freq,frf
0,0,0.5263411709931889,0.35472969583580016
1,1,0.5290265851309093,0.3999063752460237
2,2,0.5317119992686297,0.4573672839871212
3,3,0.5343974134063499,0.5317838884931694
4,4,0.5370828275440703,0.6294184224597352
5,5,0.5397682416817907,0.7579987448413539
6,6,0.542453655819511,0.9214861533886672
7,7,0.5451390699572315,1.1127014544402964
8,8,0.5478244840949518,1.298602564564011
9,9,0.5483615669224957,1.3296107065026908
10,10,0.5488986497500398,1.356471963640277
11,11,0.5494357325775839,1.377450355634989
12,12,0.5499728154051279,1.3902219787646939
13,13,0.550509898232672,1.3919535849809632
14,14,0.5510469810602161,1.3787432990884114
15,15,0.5515840638877602,1.3466842319050034
16,16,0.5521211467153042,1.294315103709239
17,17,0.5526582295428485,1.2250524642248106
18,18,0.5531953123703924,1.1474832709217087
19,19,0.5537323951979366,1.0701537974954358
20,20,0.5542694780254805,0.9989184264173384
21,21,0.5548065608530247,0.9353097600019236
22,22,0.5553436436805688,0.8787103997416206
23,23,0.5558807265081128,0.8282063713716368
24,24,0.5564178093356569,0.7829722883519195
25,25,0.5585661406458332,0.6428217547576118
26,26,0.5612515547835535,0.524753637732863
27,27,0.5639369689212739,0.44288576878747377
28,28,0.5263411709931889,0.6930993134117619
29,29,0.5290265851309093,0.7745885632953953
30,30,0.5317119992686297,0.8741602103874642
31,31,0.5343974134063499,0.9958768750150773
32,32,0.5370828275440703,1.1440658446271903
33,33,0.5397682416817907,1.3203255317802032
34,34,0.542453655819511,1.5228531306214186
35,35,0.5451390699572315,1.7454532023418172
36,36,0.5478244840949518,1.9773961184992892
37,37,0.5483615669224957,2.0240499142404653
38,38,0.5488986497500398,2.0705770567097534
39,39,0.5494357325775839,2.1168936413752726
40,40,0.5499728154051279,2.1629310536029682
41,41,0.550509898232672,2.2086378642036877
42,42,0.5510469810602161,2.253908909470857
43,43,0.5515840638877602,2.2986390175684104
44,44,0.5521211467153042,2.3428586204557873
45,45,0.5526582295428485,2.386524749882548
46,46,0.5531953123703924,2.429605156523259
47,47,0.5537323951979366,2.471637787190851
48,48,0.5542694780254805,2.5124950397026016
49,49,0.5548065608530247,2.5519649638967805
50,50,0.5553436436805688,2.589805596352893
51,51,0.5558807265081128,2.6256081467393604
52,52,0.5564178093356569,2.6590309679323774
53,53,0.5585661406458332,1.9213174777430586
54,54,0.5612515547835535,1.166961218948847
55,55,0.5639369689212739,0.9374079406289513
